affected_games,agreement,annotation_id,annotator,author_playtime_at_review_min,author_playtime_overall_min,combined_rating,combined_rating_display,created_at,criticism-praise-developer-publisher,criticism-praise-game-content,criticism-praise-ideological,criticism-praise-political,funny_score,game,game_description,game_name_display,game_received_for_free,id,input_ids,is-game-related,is-review-bombing,last_updated_formatted,lead_time,rating,release_date,review,review_bomb_reason,review_bomb_time,review_bomb_type,review_date,review_date_datetime,source,steam_rating_positive,updated_at,was_steam_purchase
Firewatch,77.77777777777777,31883455,15657,105.0,105.0,Nicht empfohlen,Nicht empfohlen,2024-03-02T23:02:57.468714Z,Nein,Ja,Ja,Nein,0.0,Firewatch,"Firewatch is a single-player first-person mystery set in the Wyoming wilderness, where your only emotional lifeline is the person on the other end of a handheld radio.",Firewatch,False,91871430,[  101  2023  2003 10468  1037  3788 25837  1012  2994  2185  1012   102],Ja,Ja,17.09.2017 01:15:39,44.639,,09.02.2016,This is basically a walking simulator.  Stay away.,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",12. September 2017 - Anfang Oktober 2017,negativ,17.09.2017 01:15:39,17.09.2017,Steam,False,2024-03-02T23:02:57.468729Z,True
Firewatch,77.77777777777777,31388814,18232,105.0,105.0,Nicht empfohlen,Nicht empfohlen,2024-02-22T12:41:29.400815Z,Nein,Ja,Nein,Nein,0.0,Firewatch,"Firewatch is a single-player first-person mystery set in the Wyoming wilderness, where your only emotional lifeline is the person on the other end of a handheld radio.",Firewatch,False,91871430,[  101  2023  2003 10468  1037  3788 25837  1012  2994  2185  1012   102],Ja,Nein,17.09.2017 01:15:39,55.638,,09.02.2016,This is basically a walking simulator.  Stay away.,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",12. September 2017 - Anfang Oktober 2017,negativ,17.09.2017 01:15:39,17.09.2017,Steam,False,2024-02-22T12:41:29.400868Z,True
Firewatch,77.77777777777777,30488216,17568,105.0,105.0,Nicht empfohlen,Nicht empfohlen,2024-02-08T09:51:05.785011Z,Nein,Ja,Nein,Nein,0.0,Firewatch,"Firewatch is a single-player first-person mystery set in the Wyoming wilderness, where your only emotional lifeline is the person on the other end of a handheld radio.",Firewatch,False,91871430,[  101  2023  2003 10468  1037  3788 25837  1012  2994  2185  1012   102],Ja,Nein,17.09.2017 01:15:39,17.483,,09.02.2016,This is basically a walking simulator.  Stay away.,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",12. September 2017 - Anfang Oktober 2017,negativ,17.09.2017 01:15:39,17.09.2017,Steam,False,2024-02-08T09:51:05.785028Z,True
Firewatch,88.88888888888889,31883483,15657,212.0,212.0,Nicht empfohlen,Nicht empfohlen,2024-03-02T23:05:18.785689Z,Nein,Ja,Ja,Nein,0.0,Firewatch,"Firewatch is a single-player first-person mystery set in the Wyoming wilderness, where your only emotional lifeline is the person on the other end of a handheld radio.",Firewatch,False,91871431,"[  101  2023  2208  2003  2028  1997  2216  5312  2073  1045  4299  2045
  2001  2019  5724  2090  1000  2748  1000  1998  1000  2053  1000  1012
  1996  2208  1005  1055  2396  2003  2035  2200  3835  1010  1996  2376
  3772  2003  2092  2589  1998  1996  2707  1997  1996  2208  2038  1037
  2200  5875  1998 17075  2466  1012 13718  2009  2035  3632  2091  2940
  1996 20388  2017  2131  2000  1996  2203  4525  1999  1037  5410  4566
  4102  2000  2129  2844  1996  2208  2318  2125  1012   102]",Ja,Nein,20.09.2017 03:28:51,140.407,,09.02.2016,"This game is one of those moments where I wish there was an option between ""Yes"" and ""No"". The game's art is all very nice, the voice acting is well done and the start of the game has a very interesting and compelling story. Sadly it all goes down hill the nearer you get to the end resulting in a weak ending compared to how strong the game started off.","Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",12. September 2017 - Anfang Oktober 2017,negativ,20.09.2017 03:28:51,20.09.2017,Steam,False,2024-03-02T23:05:18.785707Z,True
Firewatch,88.88888888888889,31388867,18232,212.0,212.0,Nicht empfohlen,Nicht empfohlen,2024-02-22T12:42:41.237049Z,Nein,Ja,Nein,Nein,0.0,Firewatch,"Firewatch is a single-player first-person mystery set in the Wyoming wilderness, where your only emotional lifeline is the person on the other end of a handheld radio.",Firewatch,False,91871431,"[  101  2023  2208  2003  2028  1997  2216  5312  2073  1045  4299  2045
  2001  2019  5724  2090  1000  2748  1000  1998  1000  2053  1000  1012
  1996  2208  1005  1055  2396  2003  2035  2200  3835  1010  1996  2376
  3772  2003  2092  2589  1998  1996  2707  1997  1996  2208  2038  1037
  2200  5875  1998 17075  2466  1012 13718  2009  2035  3632  2091  2940
  1996 20388  2017  2131  2000  1996  2203  4525  1999  1037  5410  4566
  4102  2000  2129  2844  1996  2208  2318  2125  1012   102]",Ja,Nein,20.09.2017 03:28:51,70.853,,09.02.2016,"This game is one of those moments where I wish there was an option between ""Yes"" and ""No"". The game's art is all very nice, the voice acting is well done and the start of the game has a very interesting and compelling story. Sadly it all goes down hill the nearer you get to the end resulting in a weak ending compared to how strong the game started off.","Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",12. September 2017 - Anfang Oktober 2017,negativ,20.09.2017 03:28:51,20.09.2017,Steam,False,2024-02-22T12:42:41.237069Z,True
Firewatch,88.88888888888889,30488247,17568,212.0,212.0,Nicht empfohlen,Nicht empfohlen,2024-02-08T09:51:19.595088Z,Nein,Ja,Nein,Nein,0.0,Firewatch,"Firewatch is a single-player first-person mystery set in the Wyoming wilderness, where your only emotional lifeline is the person on the other end of a handheld radio.",Firewatch,False,91871431,"[  101  2023  2208  2003  2028  1997  2216  5312  2073  1045  4299  2045
  2001  2019  5724  2090  1000  2748  1000  1998  1000  2053  1000  1012
  1996  2208  1005  1055  2396  2003  2035  2200  3835  1010  1996  2376
  3772  2003  2092  2589  1998  1996  2707  1997  1996  2208  2038  1037
  2200  5875  1998 17075  2466  1012 13718  2009  2035  3632  2091  2940
  1996 20388  2017  2131  2000  1996  2203  4525  1999  1037  5410  4566
  4102  2000  2129  2844  1996  2208  2318  2125  1012   102]",Ja,Nein,20.09.2017 03:28:51,13.061,,09.02.2016,"This game is one of those moments where I wish there was an option between ""Yes"" and ""No"". The game's art is all very nice, the voice acting is well done and the start of the game has a very interesting and compelling story. Sadly it all goes down hill the nearer you get to the end resulting in a weak ending compared to how strong the game started off.","Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",12. September 2017 - Anfang Oktober 2017,negativ,20.09.2017 03:28:51,20.09.2017,Steam,False,2024-02-08T09:51:19.595104Z,True
Firewatch,100.0,31883492,15657,379.0,418.0,Nicht empfohlen,Nicht empfohlen,2024-03-02T23:05:36.880756Z,Ja,Ja,Ja,Nein,0.0,Firewatch,"Firewatch is a single-player first-person mystery set in the Wyoming wilderness, where your only emotional lifeline is the person on the other end of a handheld radio.",Firewatch,False,91871432,"[  101 11771  2208  1012  2204  7982  1012  2123  2102  2215  2122  7957
  1997  9797  1999  2023  2865  1012   102]",Ja,Ja,15.09.2017 02:33:25,17.271,,09.02.2016,"Boring game. Good dialogue.
Dont want these kinds of developers in this media.
","Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",12. September 2017 - Anfang Oktober 2017,negativ,15.09.2017 02:33:25,15.09.2017,Steam,False,2024-03-02T23:05:36.880776Z,True
Firewatch,100.0,31388895,18232,379.0,418.0,Nicht empfohlen,Nicht empfohlen,2024-02-22T12:43:38.373409Z,Ja,Ja,Ja,Nein,0.0,Firewatch,"Firewatch is a single-player first-person mystery set in the Wyoming wilderness, where your only emotional lifeline is the person on the other end of a handheld radio.",Firewatch,False,91871432,"[  101 11771  2208  1012  2204  7982  1012  2123  2102  2215  2122  7957
  1997  9797  1999  2023  2865  1012   102]",Ja,Ja,15.09.2017 02:33:25,56.296,,09.02.2016,"Boring game. Good dialogue.
Dont want these kinds of developers in this media.
","Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",12. September 2017 - Anfang Oktober 2017,negativ,15.09.2017 02:33:25,15.09.2017,Steam,False,2024-02-22T12:43:38.373427Z,True
Firewatch,100.0,30488292,17568,379.0,418.0,Nicht empfohlen,Nicht empfohlen,2024-02-08T09:51:43.967716Z,Ja,Ja,Ja,Nein,0.0,Firewatch,"Firewatch is a single-player first-person mystery set in the Wyoming wilderness, where your only emotional lifeline is the person on the other end of a handheld radio.",Firewatch,False,91871432,"[  101 11771  2208  1012  2204  7982  1012  2123  2102  2215  2122  7957
  1997  9797  1999  2023  2865  1012   102]",Ja,Ja,15.09.2017 02:33:25,23.575,,09.02.2016,"Boring game. Good dialogue.
Dont want these kinds of developers in this media.
","Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",12. September 2017 - Anfang Oktober 2017,negativ,15.09.2017 02:33:25,15.09.2017,Steam,False,2024-02-08T09:51:43.967738Z,True
Firewatch,55.55555555555556,31883502,15657,393.0,393.0,Nicht empfohlen,Nicht empfohlen,2024-03-02T23:06:11.654764Z,Nein,Nein,Ja,Ja,9.0,Firewatch,"Firewatch is a single-player first-person mystery set in the Wyoming wilderness, where your only emotional lifeline is the person on the other end of a handheld radio.",Firewatch,False,91871433,"[  101  2025  1037  2309  2111  1997  3609  1012  1996  2069  2450  1006
  2040  2003  2036  8841  1007  2987  1005  1056  2562  2014  4872  1998
  2003  2019 14813  1012  2440  2007  2843  1997  2200  2919 18024  2015
  1012  2123  1005  1056  4965  2023  2208  2065  2017  2428  2729  2074
  1037  2210  2978  2055  2529  2916  1012   102]",Nein,Nein,13.09.2017 17:22:49,33.92,,09.02.2016,"Not a single people of color. The only woman (who is also invisible) doesn't keep her promise and is an alcoholic. Full with lot of very bad prejudices.

Don't buy this game if you really care just a little bit about human rights.","Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",12. September 2017 - Anfang Oktober 2017,negativ,13.09.2017 17:22:49,13.09.2017,Steam,False,2024-03-30T16:33:55.487017Z,True
